exam,variant,target,slice_type,slice_value,n,spearman,actual_mean,pred_mean,actual_median,pred_median,metric,error,signed_error,actual_to_pred_ratio
dual,cover_yolo,popularity,release_period,<=2009,331,0.5036475529996542,4002.870090634441,1488.0499930904023,1131.0,790.2597489436046,log_mae,0.9411971946200213,-0.4732391692376258,2.6900104897156223
dual,cover_yolo,popularity,format_slice,MOVIE,177,0.3886835101864686,6447.141242937853,1952.0024938829142,1331.0,757.4015052649132,log_mae,1.315742426380845,-0.5877456631747557,3.302834531790597
dual,cover_yolo,popularity,format_slice,ONA,383,0.38308555476634787,2572.135770234987,540.9866875873744,619.0,416.53263399899816,log_mae,0.8497832878264805,-0.6977707576228195,4.754526921366366
dual,cover_yolo,popularity,format_slice,OVA,127,0.6428707433202243,6878.779527559055,886.5664710550473,831.0,633.9958277151096,log_mae,0.9459009029391858,-0.8352492652275355,7.758898799063594
dual,cover_yolo,popularity,format_slice,SPECIAL,481,0.54230525509493,13265.293139293139,1217.3923204113535,3192.0,962.1595056817596,log_mae,1.4523950915034745,-1.350531237880974,10.896481698529882
dual,cover_yolo,popularity,format_slice,TV,34,0.6348357524828112,23601.970588235294,756.2867911602357,1158.0,451.6150817326631,log_mae,1.924711808972725,-1.8555392358945841,31.20769906879771
dual,cover_yolo,popularity,source_slice,LIGHT_NOVEL,115,0.519353190550191,27914.2,1668.189248847704,7501.0,1180.848687965408,log_mae,2.004337241266473,-1.8747682870507096,16.733233366227267
dual,cover_yolo,popularity,source_slice,MANGA,306,0.4454452249285182,12683.601307189543,1288.671460764025,3065.0,1077.165318500887,log_mae,1.4711104646072903,-1.342468496142191,9.84238550582141
dual,cover_yolo,popularity,source_slice,ORIGINAL,386,0.5512035177154228,3243.497409326425,975.4297866860403,751.0,492.29771448427164,log_mae,1.0319992508783293,-0.683243496705197,3.3251982393791746
dual,cover_yolo,popularity,source_slice,OTHER,79,0.47306697523651414,1623.3164556962026,1104.1835705278497,664.0,452.1034300707637,log_mae,0.8772449642352186,-0.492235313347958,1.4701508870668887
dual,cover_yolo,popularity,source_slice,OTHER_SMALL,84,0.5680353554672805,8098.333333333333,730.7895075918752,838.5,535.7028772273727,log_mae,1.0202636371707297,-0.9388639620763998,11.081622340226616
